CNPJ_Fundo_Classe;Data_Referencia;Versao;Classe;Nome_Endereco_Imovel;Justificativa_Evolucao_Inferior_Previsto;Justificativa_Custo_Superior_Previsto
30.654.849/0001-40;2022-06-30;1;Imóveis para renda em construção;Não possui informação apresentada;Não possui informação apresentada;Não possui informação apresentada
30.654.849/0001-40;2022-09-30;2;Imóveis para renda em construção;Não possui informação apresentada;Não possui informação apresentada;Não possui informação apresentada
30.871.716/0001-25;2022-03-31;1;Imóveis para renda em construção;N/D;N/D;N/D
30.871.716/0001-25;2022-06-30;1;Imóveis para renda em construção;N/D;N/D;N/D
30.871.716/0001-25;2022-09-30;1;Imóveis para renda em construção;N/D;N/D;N/D
30.871.716/0001-25;2022-12-31;1;Imóveis para renda em construção;N/D;N/D;N/D
31.907.591/0001-09;2022-03-31;1;Imóveis para renda em construção;Imóvel A, TERRENO FELTRINS;Não Aplicavel;Não Aplicavel
31.907.591/0001-09;2022-03-31;1;Imóveis para renda em construção;Imóvel B, TERRENO FELTRINS;Não Aplicavel;Não Aplicavel
31.907.591/0001-09;2022-06-30;1;Imóveis para renda em construção;Imóvel B, TERRENO FELTRINS;Não Aplicavel;Não Aplicavel
31.907.591/0001-09;2022-06-30;1;Imóveis para renda em construção;Imóvel A, TERRENO FELTRINS;Não Aplicavel;Não Aplicavel
31.907.591/0001-09;2022-09-30;1;Imóveis para renda em construção;Imóvel B, TERRENO FELTRINS;Não Aplicavel;Não Aplicavel
31.907.591/0001-09;2022-09-30;1;Imóveis para renda em construção;Imóvel A, TERRENO FELTRINS;Não Aplicavel;Não Aplicavel
31.907.591/0001-09;2022-12-31;1;Imóveis para renda em construção;Imóvel B, TERRENO FELTRINS;Não Aplicavel;Não Aplicavel
31.907.591/0001-09;2022-12-31;1;Imóveis para renda em construção;Imóvel A, TERRENO FELTRINS;Não Aplicavel;Não Aplicavel
34.471.719/0001-22;2022-03-31;1;Imóveis para venda em construção;25% Imóvel - FABRICA DA FORD MOTORS DO BRASIL;NA;NA
34.471.719/0001-22;2022-06-30;1;Imóveis para venda em construção;25% Imóvel - FABRICA DA FORD MOTORS DO BRASIL;NA;NA
