CNPJ_Fundo_Classe;Data_Referencia;Versao;Nome_Endereco_Imovel;Caracteristicas_Contratuais
23.537.203/0001-17;2021-12-31;1;Edificio MAYRINK VEIGA - MV9;Não possui caracteristicas que destoem dos demais
23.538.112/0001-04;2021-03-31;1;N/A;N/A
23.538.112/0001-04;2021-06-30;1;N/A;N/A
23.538.112/0001-04;2021-09-30;1;N/A;N/A
23.538.112/0001-04;2021-12-31;1;N/A;N/A
23.570.871/0001-46;2021-03-31;1;Wtorre Morumbi;N/A
23.570.871/0001-46;2021-06-30;1;Wtorre Morumbi;N/A
23.570.871/0001-46;2021-09-30;1;Wtorre Morumbi;N/A
23.570.871/0001-46;2021-12-31;2;Wtorre Morumbi;N/A
23.582.914/0001-03;2021-03-31;1;Edifício Cidade Jardim;Não possui caracteristicas que destoem dos demais
